title,link,score,comments
What's that touchscreen in my room?,https://laplab.me/posts/whats-that-touchscreen-in-my-room/,724 points,214 comments
Why lowercase letters save data,https://endtimes.dev/why-lowercase-letters-save-data/,71 points,45 comments
Vint Cerf is accumulating Dave Mills stories,https://docs.google.com/document/d/1XU6Fn5rFeJLO4mIBSa9e8V8BIDwafI0Lvlmi4gQwcmE/edit?usp=sharing,159 points,2 comments
Ceph: A Journey to 1 TiB/s,https://ceph.io/en/news/blog/2024/ceph-a-journey-to-1tibps/,309 points,137 comments
Snowcraft – Building a Lego Snowfort from giant Lego snow-bricks,https://www.verandavikings.com/blog/building-lego-iglos,96 points,18 comments
Textart.sh,https://textart.sh,110 points,13 comments
On Leibniz Notation,https://math.stackexchange.com/questions/3266639/notation-for-partial-derivative-of-functions-of-functions,51 points,21 comments
Retired teacher's pension stopped as provider refuses to believe she is not dead,https://www.theguardian.com/money/2024/jan/20/retired-teachers-pension-stopped-as-provider-refuses-to-believe-she-is-not-dead,7 points,2 comments
VNote: A pleasant note-taking platform,https://app.vnote.fun/en_us/,25 points,13 comments
Platform Tilt,https://mozilla.github.io/platform-tilt/,256 points,48 comments
Show HN: FaceSwap.Beauty – a face swap tool online,https://www.faceswap.beauty,4 points,0 comments
Researchers claim first functioning graphene-based chip,https://spectrum.ieee.org/graphene-semiconductor,307 points,100 comments
Gleam's New Interactive Language Tour,https://gleam.run/news/gleams-new-interactive-language-tour/,59 points,5 comments
Shots: Create Mockups,https://shots.so/,107 points,49 comments
Pipeline-Oriented Programming [video],https://www.youtube.com/watch?v=ipceTuJlw-M,13 points,4 comments
Why are Teslas' batteries dying in the cold?,https://www.theguardian.com/technology/2024/jan/19/tesla-battery-dying-cold-weather-charging-winter,14 points,6 comments
Microsoft actions following attack by nation state actor Midnight Blizzard,https://msrc.microsoft.com/blog/2024/01/microsoft-actions-following-attack-by-nation-state-actor-midnight-blizzard/,224 points,131 comments
Building a USB SNES Controller,https://blog.chybby.com/posts/building-a-usb-snes-controller,279 points,91 comments
The revenge of Unicode,https://eclecticlight.co/2024/01/20/the-revenge-of-unicode/,6 points,1 comment
Japan's first-ever soft lunar landing with SLIM spacecraft [video],https://www.youtube.com/watch?v=2-yBlZplnKQ,217 points,83 comments
Calculus on Computational Graphs: Backpropagation (2015),https://colah.github.io/posts/2015-08-Backprop/,153 points,23 comments
Tart: VMs on macOS using Apple's native Virtualization.Framework,https://tart.run/,209 points,121 comments
French cheese under threat from lack of microbial diversity,https://news.cnrs.fr/articles/french-cheese-under-threat,217 points,170 comments
The Library of Consciousness – Alan Watts,https://www.organism.earth/library/author/alan-watts,15 points,3 comments
Starlite,https://en.wikipedia.org/wiki/Starlite,69 points,28 comments
We migrated our PostgreSQL database with 11 seconds downtime,https://gds.blog.gov.uk/2024/01/17/how-we-migrated-our-postgresql-database-with-11-seconds-downtime/,546 points,189 comments
Surf the web like it's 1999,https://billsworld.neocities.org/,389 points,153 comments
Phind (YC S22) is hiring machine learning and front end engineers,https://www.ycombinator.com/companies/phind/jobs,0 points,0 comments
"Fujitsu bugs that sent innocent people to prison were known ""from the start""",https://arstechnica.com/tech-policy/2024/01/fujitsu-bugs-that-sent-innocent-people-to-prison-were-known-from-the-start/,456 points,225 comments
First AI medical device that detects major skin cancers received FDA approval,https://digialps.com/the-first-ai-medical-device-that-can-detect-all-major-skin-cancers-just-received-fda-approval/,110 points,49 comments
